cafe,street,user,time,stars,reviews
Remarkable Beans,Queen St E,jodi sherwood,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,Craig B,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,Brian Kennedy,5 years ago, 4 stars ,Excellent coffee and delicious quiches with a nice selection
Remarkable Beans,Queen St E,Nick Errey,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,HARRIS LAM,5 years ago, 5 stars ,Best coffee roasted on site baked goods made fresh and delicious every day
Remarkable Beans,Queen St E,Vivian K.,6 years ago, 3 stars ,
Remarkable Beans,Queen St E,Aura Events,6 years ago, 5 stars ,Great atmosphere and INCREDIBLE coffee. Working in this area for a few months and have made this a part of my routine. Get one of the muffins.
Remarkable Beans,Queen St E,Mike Heron,6 years ago, 5 stars ,Friendly folks making good coffee.  Plenty of room.  What else does one need?
Remarkable Beans,Queen St E,Matthew Visser,6 years ago, 4 stars ,
Remarkable Beans,Queen St E,Sarah Bruckschwaiger,6 years ago, 4 stars ,Best coffee place everrr
Remarkable Beans,Queen St E,Ross Carrothers,6 years ago, 5 stars ,
Remarkable Beans,Queen St E,Kitzen Hayden,6 years ago, 5 stars ,Best coffee in the beaches hands down.  Their medium americano can't be beat!!
Remarkable Beans,Queen St E,Wesley Robb,6 years ago, 4 stars ,
Remarkable Beans,Queen St E,Mark Bolusmjak,6 years ago, 4 stars ,Delicious drinks with lots of room to sit and enjoy the atmosphere.
Remarkable Beans,Queen St E,Priscilla Mak,6 years ago, 4 stars ,"Best coffee in Leslieville- I always buy some for housewarming gifts wherever I go and people are really impressed! Great staff, awesome treats. Wouldn't recommend it for sitting and reading or working/studying however- the music is consistently awful, never changed (I've heard the same group of old CDs repeat 3 times in one afternoon type of thing) and volume is set very loud. I bring my noise cancelling headphones and try and make-do because I love the place so much lol"
Remarkable Beans,Queen St E,Kathy Nga Ting Ho,6 years ago, 5 stars ,The big tables are great for getting work done
Remarkable Beans,Queen St E,Andrea (LabyrinthOnVHS),6 years ago, 5 stars ,Good lord the baked goods are amazing. The Remarkable Baked Goods didn't have the same ring or didn't fit on the sign. All hail the bean's quiche! See also: chocolate chip muffin et al.
Remarkable Beans,Queen St E,Pedram D.,6 years ago, 5 stars ,"Great coffee, good selection of treats and lunch items (sandwiches, quiche, etc.) Good reasonably quiet place to get some work done."
